bookkeeping	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	markup_description	name	newick	pk	status	genus_name	family	color	latlong_combined	duplicate
False	0	0	0		383	15066	mza	sant1436	{}	16.7003	language	-97.9484		Santa María Zacatepec Mixtec	'Santa María Zacatepec Mixtec [sant1436][mza]-l-'	16987	unknown/safe		Otomanguean	#A9A9A9	16.7003 -97.9484	FALSE
False	0	0	0		383	12470	mdv	sant1439	{}	16.9969	language	-97.6277		Santa Lucía Monteverde Mixtec	'Santa Lucía Monteverde Mixtec [sant1439][mdv]-l-'	15082	unknown/safe		Otomanguean	#A9A9A9	16.9969 -97.6277	FALSE
False	1	0	0		383	15017	zpn	sant1447	{}	16.8842	language	-96.7527		Santa Inés Yatzechi Zapotec	('Zaachila [zaac1238]')'Santa Inés Yatzechi Zapotec [sant1447][zpn]-l-'	16926	unknown/safe		Otomanguean	#A9A9A9	16.8842 -96.7527	FALSE
False	0	0	0		383	15017	ztn	sant1448	{}	17.0446	language	-96.3512		Santa Catarina Albarradas Zapotec	'Santa Catarina Albarradas Zapotec [sant1448][ztn]-l-'	16943	unknown/safe		Otomanguean	#A9A9A9	17.0446 -96.3512	FALSE
False	0	0	0		383	15017	zas	sant1450	{}	17.0345	language	-96.281		Santo Domingo Albarradas Zapotec	'Santo Domingo Albarradas Zapotec [sant1450][zas]-l-'	16933	unknown/safe		Otomanguean	#A9A9A9	17.0345 -96.281	FALSE
False	0	0	0		383	15017	zpi	sant1451	{}	16.033	language	-96.0486		Santa María Quiegolani Zapotec	'Santa María Quiegolani Zapotec [sant1451][zpi]-l-'	16934	unknown/safe		Otomanguean	#A9A9A9	16.033 -96.0486	FALSE
False	0	0	0		383	15019	zpr	sant1452	{}	15.8836	language	-96.2186		Santiago Xanica Zapotec	'Santiago Xanica Zapotec [sant1452][zpr]-l-'	16963	unknown/safe		Otomanguean	#A9A9A9	15.8836 -96.2186	FALSE
False	2	0	0		383	9666	pca	sant1454	{}	18.38647	language	-97.85991		Santa Inés Ahuatempan Popoloca	('Ahuatempan Popoloca [ahua1238]','Todos Santos Almolonga Popoloca [todo1238]')'Santa Inés Ahuatempan Popoloca [sant1454][pca]-l-'	12451	unknown/safe		Otomanguean	#A9A9A9	18.38647 -97.85991	FALSE
False	2	0	0		148	148	xsu	sanu1240	{}	1.31875	language	-67.6498		Sanumá	('Cobari [coba1238]','Yanoma [yano1265]')'Sanumá [sanu1240][xsu]-l-'	1238	vulnerable		Yanomamic	#CBCB65	1.31875 -67.6498	FALSE
False	0	0	0		383	12444	zpt	sanv1242	{}	16.2817	language	-96.8667		San Vicente Coatlán Zapotec	'San Vicente Coatlán Zapotec [sanv1242][zpt]-l-'	15024	unknown/safe		Otomanguean	#A9A9A9	16.2817 -96.8667	FALSE
False	0	0	0		143	4148	scq	saoc1239	{}	10.8739	language	103.835		Sa'och	'Sa'och [saoc1239][scq]-l-'	6203	critically endangered		Austroasiatic	#FF6500	10.8739 103.835	FALSE
False	0	0	0		58	5671	zkp	saop1235	{}	-23.5708	language	-46.7609		São Paulo Kaingáng	'São Paulo Kaingáng [saop1235][zkp]-l-'	8180	extinct		Nuclear-Macro-Je	#FF0000	-23.5708 -46.7609	FALSE
False	0	0	0		89	22884	cri	saot1239	{}	0.28332	language	6.61935		Sãotomense	'Sãotomense [saot1239][cri]-l-'	23057	unknown/safe		Indo-European	#A9A9A9	0.28332 6.61935	FALSE
False	4	0	0		21	23042	spr	sapa1251	{}	-3.58314	language	128.639		Saparua	('Iha-Saparua [ihas1240]','Iha-Seram [ihas1239]','Kulur [kulu1256]','Siri-Sori [siri1271]')'Saparua [sapa1251][spr]-l-'	23150	definitely endangered		Austronesian	#EDED21	-3.58314 128.639	FALSE
False	0	0	0		374	4885	NOCODE_Sapara	sapa1254	{}	3.433437	language	-61.580544		Sapara	'Sapara [sapa1254]-l-'	7087	extinct		Cariban	#FF0000	3.433437 -61.580544	FALSE
False	0	0	0				spc	sape1238	{}	4.9447	language	-63.2363		Sapé	'Sapé [sape1238][spc]-l-'	3	critically endangered			#FF6500	4.9447 -63.2363	FALSE
False	6	0	0		10	7680	krn	sapo1251	{}	5.69555	language	-8.49229		Sapo	('Juarzon [juar1239]','Kabade [kaba1280]','Nomopo [nomo1238]','Putu [putu1242]','Sinkon [sink1244]','Waya [waya1266]')'Sapo [sapo1251][krn]-l-'	10314	unknown/safe		Atlantic-Congo	#A9A9A9	5.69555 -8.49229	FALSE
False	2	0	0		21	22821	sps	sapo1253	{}	-5.64103	language	154.732		Saposa	('Nuclear Saposa [nucl1495]','Taiof [taio1240]')'Saposa [sapo1253][sps]-l-'	23019	unknown/safe		Austronesian	#A9A9A9	-5.64103 154.732	FALSE
False	0	0	0		85	2181	spi	sapo1254	{}	-2.49694	language	139.5		Saponi	'Saponi [sapo1254][spi]-l-'	3915	extinct		Lakes Plain	#FF0000	-2.49694 139.5	FALSE
False	0	0	0		143	4163	spu	sapu1248	{}	15.3692	language	106.843		Sapuan	'Sapuan [sapu1248][spu]-l-'	6216	unknown/safe		Austroasiatic	#A9A9A9	15.3692 106.843	FALSE
